provider,session_id,first_received_at,last_received_at,event_count,turns,tools,tool_failures,waiting,gaps,closed,finding_count,rules
codex,01a07d94-c681-7693-a877-cebec978bf3a,2026-09-07T20:35:37.536056+00:00,2026-09-07T23:59:47.408934+00:00,183,6,49,4,0,0,True,0,
codex,01a07dbc-329e-7c31-9557-cfe097b14b8d,2026-09-07T21:18:15.308914+00:00,2026-09-07T23:56:59.800595+00:00,233,2,76,0,0,0,True,0,
codex,01a07e04-373d-70a1-acc8-290c81a23d33,2026-09-07T22:36:54.759014+00:00,2026-09-07T23:31:27.088936+00:00,240,2,70,3,0,0,False,0,
codex,01a07e28-900f-7b23-bc55-2f2571ce1bb7,2026-09-07T23:17:47.042074+00:00,2026-09-08T19:58:04.389067+00:00,224,8,58,1,0,2,True,0,
codex,01a07d17-48be-71c3-981f-ae1db5e7bf99,2026-09-07T23:30:06.334039+00:00,2026-09-07T23:30:08.229899+00:00,100,0,0,0,0,0,True,0,
codex,01a07d4a-630a-7033-8543-67a236ffa8ff,2026-09-07T23:50:19.177141+00:00,2026-09-07T23:50:22.540754+00:00,92,0,0,0,0,0,True,0,
codex,01a07f67-46a2-76d2-a495-20f1d2fa142a,2026-09-08T05:04:50.458125+00:00,2026-09-08T19:58:02.834834+00:00,256,2,86,0,0,0,True,0,
codex,01a07f73-550e-7213-ad08-f2090014c1fc,2026-09-08T05:19:25.113544+00:00,2026-09-08T19:58:01.008630+00:00,81,1,27,4,0,0,True,0,
codex,01a07f91-bce6-7fe0-abe5-8ed2470049a4,2026-09-08T05:55:32.512943+00:00,2026-09-08T19:58:08.653692+00:00,399,15,135,8,0,1,False,0,
codex,01a07f8f-8592-7580-adeb-2312d3cf86de,2026-09-08T06:08:35.386604+00:00,2026-09-08T19:58:01.239796+00:00,56,0,7,0,0,0,True,0,
codex,01a07faa-fa6e-7fa1-9e26-63e718d30732,2026-09-08T06:19:39.544508+00:00,2026-09-08T19:58:03.372850+00:00,76,3,25,0,0,1,True,0,
codex,01a07faf-ecd8-7aa1-97af-48e706727e40,2026-09-08T06:26:50.977777+00:00,2026-09-08T19:58:05.999617+00:00,364,10,120,3,0,0,False,1,repeated_tool_outcome
codex,01a0822f-0745-7761-afff-51c448d60714,2026-09-08T18:02:15.079978+00:00,2026-09-08T19:58:01.498528+00:00,113,6,33,0,0,0,False,0,
codex,01a08236-2423-7570-909d-9967f4913195,2026-09-08T18:10:05.997301+00:00,2026-09-08T19:58:04.901055+00:00,178,5,66,2,0,0,False,0,
codex,01a0824c-df30-74d2-b88a-47f2a22f2229,2026-09-08T18:38:59.674966+00:00,2026-09-08T20:04:17.405016+00:00,841,6,241,1,0,3,False,4,repeated_tool_outcome
codex,01a08255-497c-7540-a2f4-ceeca3b7e876,2026-09-08T18:47:28.104369+00:00,2026-09-08T19:58:03.541746+00:00,164,0,60,0,0,0,False,0,
claude,6c812d9d-a85a-46a5-b0e6-bda373f790c8,2026-09-08T20:07:52.928402+00:00,2026-09-08T21:49:47.285952+00:00,82,2,30,5,12,0,True,0,
claude,8a5e5928-119f-4749-8cba-a32547428ef9,2026-09-08T20:22:45.215600+00:00,2026-09-08T21:49:47.132758+00:00,106,4,47,6,0,0,True,0,
codex,01a082be-a3a1-7812-beb3-af9e42131bc4,2026-09-08T20:39:53.284397+00:00,2026-09-08T20:44:35.242408+00:00,42,5,9,0,0,0,False,0,
claude,fea7a7d1-d6ee-43ca-b327-ef5ee33185a5,2026-09-08T20:52:47.385776+00:00,2026-09-08T21:49:47.145604+00:00,380,7,181,3,1,0,True,0,
claude,4573c081-6eb5-46b6-913c-e8c8992bd3aa,2026-09-09T04:58:08.574058+00:00,2026-09-09T05:57:30.872662+00:00,225,6,102,24,2,0,False,1,repeated_tool_outcome
claude,275cfd15-a824-4eb8-ad18-b6b809e90c14,2026-09-09T05:29:46.767579+00:00,2026-09-09T13:09:10.604290+00:00,85,1,26,3,5,0,True,0,
codex,01a084a9-7398-7293-ad52-fb6ff081f6b7,2026-09-09T05:35:09.350508+00:00,2026-09-09T19:50:36.388951+00:00,365,5,87,4,0,0,True,2,repeated_tool_outcome
claude,42cd82e9-ce54-4f10-816f-93907fb085b8,2026-09-09T06:37:30.136222+00:00,2026-09-09T11:31:44.690864+00:00,511,4,187,26,3,1,False,0,
